國字,注音,部首,型近字,同音國字,相似音國字,用詞
小,ㄒㄧㄠˇ,小,十;子;了,曉;篠,校;梟;驍;效;哮;篠;蕭;消;宵;瀟;酵;霄;肖;銷;逍;綃;笑;曉;嘯;囂;簫;削;孝;硝,國小;小時;小孩;小學;小心
地,ㄉㄧˋ,土,她;牠;池;馳;弛;祂,的;第;弟;帝;遞;蒂;締;諦;睇,詆;滌;荻;蒂;諦;迪;遞;笛;砥;第;的;邸;嘀;弟;嫡;底;睇;狄;締;柢;抵;低;敵;滴;帝,地方;土地;地球;地區;地位
地,˙ㄉㄜ,土,她;牠;池;馳;弛;祂,的;得;底,的;德;底;得,慢慢地吃;好好地玩
出,ㄔㄨ,凵,凸;凶;凹,初;齣,矗;杵;怵;畜;絀;搐;觸;除;廚;櫥;齣;鋤;雛;初;黜;蜍;楚;滁;礎;儲;芻;躇;處,出現;出來;推出;指出;演出
以,ㄧˇ,人,代;什;保,已;椅;蟻;倚;矣;乙;蛾,艾;翳;矣;毅;詣;蛇;夷;一;逸;繹;沂;意;佚;移;貽;亦;易;咦;劓;臆;羿;藝;屹;噫;儀;食;溢;迤;蜴;痍;醫;遺;怡;施;胰;議;邑;翼;義;熠;懿;宜;誼;軼;佾;裔;乙;頤;譯;異;依;疑;蟻;翌;抑;蛾;瘞;飴;億;洩;倚;曳;彝;椅;漪;驛;挹;伊;姨;役;憶;泄;疫;囈;台;益;衣;揖;奕;已;咿;射,可以;所以;以及;以後;以前
學,ㄒㄩㄝˊ,子,覺;孳;孿,褶,噱;靴;雪;削;穴;褶;薛,學生;學校;教學;學習;科學
可,ㄎㄜˇ,口,哥;古;司,渴;坷,顆;柯;軻;棵;殼;課;磕;坷;剋;蚵;咳;克;窠;苛;蝌;渴;恪;刻;溘;瞌;科;客,可以;可能;可是;不可;可愛
可,ㄎㄜˋ,口,哥;古;司,客;刻;克;課;剋;恪;溘,顆;柯;軻;棵;殼;課;磕;坷;剋;蚵;咳;克;窠;苛;蝌;渴;恪;刻;溘;瞌;科;客,可汗
自,ㄗˋ,自,白;百,字;恣;漬,漬;齊;姿;訾;資;諮;紫;貲;梓;恣;孳;籽;錙;茲;滓;字;仔;滋;子;髭;姊;孜,自己;自然;自由;自我;大自然
這,ㄓㄜˋ,辵,信;狺;過;道,浙;蔗;鷓,懾;者;螫;摺;赭;謫;著;浙;遮;輒;鷓;轍;褶;折;哲;蔗,這樣;這些;這個;這裡;這麼
會,ㄏㄨㄟˋ,曰,合;更;曾,慧;繪;匯;惠;蕙;賄;諱;穢;彙;彗;晦;誨;卉;喙;薈,蕙;惠;輝;暉;灰;恢;誨;迴;彗;穢;洄;燬;揮;諱;回;賄;晦;蛔;薈;匯;徽;毀;彙;喙;慧;悔;卉;繪,社會;機會;會議;體會;都會
會,ㄏㄨㄟˇ,曰,合;更;曾,毀;悔;燬,蕙;惠;輝;暉;灰;恢;誨;迴;彗;穢;洄;燬;揮;諱;回;賄;晦;蛔;薈;匯;徽;毀;彙;喙;慧;悔;卉;繪,一會兒
會,ㄎㄨㄞˋ,曰,合;更;曾,快;塊;筷;檜;膾;劊,快;塊;筷;檜;膾;劊,會計師;會計;會計年度;會計學
會,ㄍㄨㄟˋ,曰,合;更;曾,貴;桂;櫃;跪;鱖,珪;詭;桂;晷;傀;跪;貴;鬼;歸;圭;瑰;規;皈;軌;鱖;櫃;鮭;癸;閨,會稽山
成,ㄔㄥˊ,戈,戊;咸;威,程;城;承;盛;乘;誠;呈;澄;懲;埕;橙;丞,稱;丞;乘;秤;程;騁;城;盛;澄;呈;懲;逞;埕;撐;承;橙;瞠;誠;鐺,成長;造成;成功;形成;成立
家,ㄐㄧㄚ,宀,定;安;完;容;客,加;佳;嘉;傢;茄;迦;伽;枷;痂;珈;笳;葭,葭;價;迦;嫁;夏;蛺;戛;佳;珈;稼;駕;加;傢;架;笳;茄;枷;嘉;鉀;賈;痂;岬;頰;甲;袷;胛;夾;伽;假;舺,國家;大家;家庭;專家;家長
到,ㄉㄠˋ,刀,利;別;刻;則,道;倒;稻;蹈;盜;悼,稻;禱;擣;刀;盜;倒;導;道;叨;搗;蹈;悼;島,達到;到底;找到;到達;到處
為,ㄨㄟˊ,火,烏;鳥,維;微;圍;危;唯;違;惟;巍;韋;薇;帷;桅;闈,尾;違;味;闈;娓;維;蔚;魏;萎;慰;喂;圍;鮪;薇;韋;未;委;崴;葦;桅;逶;緯;遺;畏;偽;微;位;衛;巍;帷;猥;偉;胃;威;蝟;唯;渭;偎;餵;惟;謂;尉;危,認為;行為;以為;性行為;為止
