國字,注音,部首,型近字,同音國字,相似音國字,用詞
趣,ㄑㄩˋ,走,娶;取;超;趕,去;覷;闃,鴝;嶇;祛;齲;臞;屈;曲;蛐;衢;趨;瞿;渠;麴;驅;區;闃;取;軀;去;覷;娶,有趣;興趣;樂趣;趣味;情趣
魚,ㄩˊ,魚,思;兔,於;與;餘;予;漁;愉;余;娛;愚;瑜;輿;于;渝;逾;隅;榆;虞;俞;腴;揄;盂;覦;踰;臾;諛;妤;歟;雩;萸,俞;揄;隅;浴;禦;諭;萸;熨;輿;盂;踰;歟;域;豫;諛;預;於;語;噢;芋;餘;玉;虞;毓;喻;窳;嫗;瘀;慾;庾;逾;與;欲;迂;御;嶼;娛;寓;予;渝;覦;尉;譽;籲;遇;禹;瑜;腴;粥;愈;淤;郁;漁;燠;榆;余;圄;臾;裕;昱;馭;紆;聿;雩;愉;癒;妤;于;雨;宇;谷;愚;育;飫;獄;羽,釣魚;魚類;金魚;鯨魚;鱷魚
職,ㄓˊ,耳,織;幟;熾,直;質;值;執;植;殖;擲;姪;蟄;躑;侄;摭,旨;侄;咫;擲;摭;識;幟;趾;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;之;蜘;雉;抵;徵;制;滯;汁;值;梔;吱;治;痔;隻;芷;枝;窒;止;秩;只;製;肢;支;蟄;致;緻;躑;胝;智;痣;祇;芝;知;至;摯;植;紙;祉;直;姪;殖;誌,職棒;職業;高職;任職;職位
請,ㄑㄧㄥˇ,言,睛;猜;晴;倩;蜻,頃,氫;清;慶;親;罄;晴;卿;蜻;磬;輕;頃;傾;青;擎;情,申請;邀請;請教;請問;聘請
居,ㄐㄩ,尸,屋;層;尾;屆,車;且;拘;沮;据;駒;狙,莒;橘;遽;鉅;据;俱;懼;踞;車;聚;拘;枸;足;炬;踽;跼;侷;狙;距;袓;駒;掬;颶;劇;鋸;桔;具;咀;沮;拒;瞿;句;且;鞠;矩;據;舉;巨;菊;局,居住;居民;居然;鄰居;定居
源,ㄩㄢˊ,水,愿;嫄;原;汽;洋,原;員;園;元;圓;緣;援;袁;猿;垣;轅;媛;圜;沅,原;宛;員;圓;圜;沅;冤;緣;願;猿;院;淵;怨;轅;愿;援;媛;垣;遠;苑;元;鴛;鳶;袁;園,資源;來源;水源;能源;起源
隨,ㄙㄨㄟˊ,阜,髓;隧;隴,隋,綏;髓;燧;雖;祟;碎;歲;邃;隧;穗;遂;隋,隨時;隨便;隨即;隨後;伴隨
優,ㄧㄡ,人,擾;憂;偏;偶,憂;悠;幽;攸,祐;佑;油;鼬;莠;疣;魷;悠;囿;蚴;幽;柚;猷;尤;郵;幼;憂;鈾;有;友;右;又;黝;攸;釉;猶;酉;遊;游;誘;由,優勢;優良;優秀;優惠;優異
李,ㄌㄧˇ,木,仔;囝;朵;柴,裡;理;里;禮;哩;鯉;俚;邐;浬;醴;蠡,痢;狸;梨;灕;荔;浬;慄;瀝;邐;莉;蠡;戾;籬;礪;璃;歷;俐;立;蠣;蒞;儷;曆;吏;癘;靂;黎;釐;里;醴;俚;鯉;離;礫;驪;唳;麗;勵;禮;利;犛;隸;罹;壢;栗;琍;犁;力;例;裡;理;厲;粒;笠;漓;哩;鸝,行李;李小龍
配,ㄆㄟˋ,酉,妃;杞;圮,佩;沛;轡;珮;帔,陪;坯;珮;胚;荖;帔;轡;裴;賠;沛;培;佩;坏,配備;配合;搭配;分配;配偶
舞,ㄨˇ,舛,無;舜;舛,五;午;武;伍;鵡;侮;嫵;摀;捂;忤,汙;嗚;鶩;惡;吳;務;嫵;摀;誤;蜈;梧;戊;忤;武;鵡;霧;屋;勿;午;伍;五;亡;於;悟;毋;污;鼯;侮;巫;無;物;吾;晤;唔;騖;蕪;誣;塢;捂;烏;兀,舞蹈;舞臺;歌舞;跳舞;舞者
險,ㄒㄧㄢˇ,阜,臉;檢;撿;劍;儉;鹼;斂;瞼;殮,顯;洗;鮮;冼;蘚,嫻;羨;洗;賢;餡;閒;咸;陷;獻;閑;鹹;絃;縣;嫌;仙;顯;纖;限;冼;見;憲;蘚;鮮;啣;線;峴;弦;先;腺;現;銜;涎;掀,危險;保險;風險;保險公司;冒險
破,ㄆㄛˋ,石,被;坡;波;玻;彼;疲;頗;披;柀;陂;跛;帔,迫;魄;珀;朴,珀;頗;皤;叵;繁;潑;朴;婆;坡;陂;迫;魄,破壞;突破;打破;破裂;破產
壓,ㄧㄚ,土,饜;靨;魘,呀;鴨;鴉;啞;押;丫;椏,牙;芽;亞;衙;雅;呀;蚜;涯;訝;枒;鴨;丫;揠;押;啞;椏;鴉;軋,壓力;壓抑;血壓;壓歲錢;壓迫
防,ㄈㄤˊ,阜,訪;彷;芳;妨;紡;仿;肪;坊;舫;枋,房;妨;肪;坊,紡;彷;肪;倣;芳;妨;訪;方;房;舫;仿;放;坊,防止;預防;防治;國防;防範
股,ㄍㄨˇ,肉,般;役;骰,古;鼓;骨;滑;谷;穀;賈;鶻;蠱;罟;轂;瞽;鵠,菇;估;鶻;孤;咕;菰;谷;家;錮;穀;沽;滑;辜;固;蠱;鵠;骨;箍;賈;鴣;僱;罟;呱;瞽;告;故;顧;雇;古;蛄;姑;轂;梏;鼓,股市;股票;股價;股東;屁股
歌,ㄍㄜ,欠,哥;歐;欣;欲,哥;割;戈;擱;咯;鴿;胳;疙,胳;閣;蛤;擱;閤;格;疙;割;嗝;鉻;噶;合;骼;膈;鴿;咯;各;箇;哥;個;葛;蓋;革;戈;隔,唱歌;歌聲;歌舞;歌曲;歌仔戲
列,ㄌㄧㄝˋ,刀,剛;刊;刺;副;判,烈;裂;獵;劣;捩;冽;邋;鬣,獵;咧;捩;裂;冽;邋;鬣;烈;劣,系列;行列;列車;列入;下列
農,ㄋㄨㄥˊ,辰,辱,濃;膿;噥;儂;穠,穠;膿;儂;弄;濃;噥,農民;農村;農業;農夫;農場
般,ㄅㄢ,舟,役;骰;船;航,班;搬;頒;斑;扳,扮;阪;絆;辦;半;拌;頒;鈑;班;版;伴;板;闆;扳;斑;瓣;搬,一般;百般;這般;一般性;萬般
般,ㄅㄛ,舟,役;骰;船;航,波;玻;撥;剝;缽;菠;餑,簸;亳;柏;薄;餑;波;箔;跛;脖;悖;泊;渤;蔔;帛;駁;剝;勃;伯;缽;搏;膊;播;擘;撥;百;舶;玻;博;菠,那般;萬般無奈
福,ㄈㄨˊ,示,幅;副;逼;輻;蝠,服;夫;佛;幅;浮;符;彿;伏;扶;芙;弗;袱;輻;拂;縛;蝠;俘;匐;氟;蜉;孚;芾,扶;夫;頫;孵;複;馥;氟;脯;幅;咐;付;蝠;拂;佛;腐;俯;敷;覆;弗;輻;孚;賦;府;復;縛;符;膚;釜;腹;撫;輔;副;甫;阜;赴;彿;父;匐;芙;富;袱;傅;服;俘;芾;附;駙;浮;負;訃;伏;斧;蜉;腑;婦,幸福;福利;祝福;造福;全家福
密,ㄇㄧˋ,宀,家;實;定;安,祕;秘;蜜;泌;覓;謐;汨,瞇;獼;汨;靡;秘;蜜;糜;弭;瀰;迷;彌;泌;麋;咪;謐;覓;祕;謎;米,祕密;密集;密切;密度;精密
嗎,˙ㄇㄚ,口,碼;瑪;螞,嘛,媽;螞;嬤;麼;罵;嘛;痲;碼;馬;蟆;麻;瑪,可以嗎？
嗎,ㄇㄚˇ,口,碼;瑪;螞,馬;碼;瑪;螞,媽;螞;嬤;麼;罵;嘛;痲;碼;馬;蟆;麻;瑪,嗎啡
緊,ㄐㄧㄣˇ,糸,堅;賢;腎;豎,僅;儘;錦;謹;瑾;饉,進;巾;禁;瑾;縉;襟;今;饉;謹;金;矜;僅;斤;觔;噤;近;覲;盡;筋;燼;晉;津;浸;錦;儘;衿,緊張;緊急;趕緊;緊密;緊縮
謝,ㄒㄧㄝˋ,言,榭;射;課;講,解;契;蟹;械;洩;屑;瀉;卸;懈;泄;褻;榭;邂,卸;瀉;蟹;蠍;屑;些;械;解;懈;褻;斜;泄;鞋;榭;楔;脅;頡;寫;歇;諧;邂;協;偕;血;洩;契;邪,感謝;代謝;道謝;凋謝
充,ㄔㄨㄥ,儿,兄;允;兆;兇;兌;兀,衝;沖;憧;忡;舂,忡;沖;崇;舂;衝;重;蟲;寵;憧,充滿;充分;充實;補充;充沛
皮,ㄆㄧˊ,皮,支.反,比;罷;疲;脾;啤;琵;裨;枇;陂;埤,披;屁;比;痞;霹;辟;裨;副;啤;被;劈;圮;砒;罷;匹;媲;埤;丕;僻;批;癖;紕;陂;闢;枇;脾;琵;譬;否;疲,皮膚;真皮;包皮;頑皮;皮包
玩,ㄨㄢˊ,玉,頑;阮;沅,完;頑;丸;烷,挽;莞;宛;烷;晚;灣;彎;腕;萬;碗;頑;浣;蜿;丸;琬;綰;婉;輓;豌;完;娩;惋,玩具;電玩;好玩;開玩笑;電動玩具
策,ㄘㄜˋ,竹,刺;答;簡;筆,測;側;冊;廁;惻,測;側;冊;廁;惻,政策;策略;決策;對策;策劃
維,ㄨㄟˊ,糸,誰;唯;堆;稚;准;惟;椎;淮;錐;帷,為;微;圍;危;唯;違;惟;巍;韋;薇;帷;桅;闈,尾;違;味;闈;娓;蔚;魏;萎;慰;喂;圍;鮪;薇;韋;未;委;崴;葦;桅;逶;緯;遺;為;畏;偽;微;位;衛;巍;帷;猥;偉;胃;威;蝟;唯;渭;偎;餵;惟;謂;尉;危,維持;維護;維生素;維修;思維
麗,ㄌㄧˋ,鹿,麟;麓;麒;麋;麝,力;立;利;歷;例;勵;厲;粒;曆;莉;栗;隸;吏;俐;礫;靂;笠;痢;慄;瀝;儷;荔;戾;蒞;壢;蠣;唳;琍;癘;礪,痢;狸;梨;灕;荔;浬;慄;瀝;邐;莉;蠡;戾;籬;礪;璃;歷;俐;立;蠣;蒞;儷;曆;吏;癘;靂;黎;釐;里;醴;俚;鯉;離;礫;驪;唳;李;勵;禮;利;犛;隸;罹;壢;栗;琍;犁;力;例;裡;理;厲;粒;笠;漓;哩;鸝,美麗;華麗;亮麗;保麗龍;壯麗
麗,ㄌㄧˊ,鹿,麟;麓;麒;麋;麝,離;璃;黎;梨;釐;罹;狸;漓;籬;驪;犁;灕;鸝;犛;蠡,痢;狸;梨;灕;荔;浬;慄;瀝;邐;莉;蠡;戾;籬;礪;璃;歷;俐;立;蠣;蒞;儷;曆;吏;癘;靂;黎;釐;里;醴;俚;鯉;離;礫;驪;唳;李;勵;禮;利;犛;隸;罹;壢;栗;琍;犁;力;例;裡;理;厲;粒;笠;漓;哩;鸝,高麗菜
旅,ㄌㄩˇ,方,於;族;施;旁;旗;旋;旌,呂;侶;鋁;履;屢;縷;婁,氯;慮;率;侶;驢;縷;屢;呂;閭;櫚;濾;壘;婁;鋁;律;履;綠,旅遊;旅行;旅館;旅客;旅行車
傷,ㄕㄤ,人,殤;觴,商;湯;殤;觴,殤;觴;尚;湯;商;上;裳;晌;賞,傷害;受傷;傷口;傷心;傷腦筋
吸,ㄒㄧ,口,圾;汲;趿,西;希;析;溪;稀;悉;攜;犧;棲;膝;嘻;犀;晰;蜥;釐;熙;撕;禧;蟋;曦;兮;嬉;烯;淅;蹊;奚;皙;谿;羲;唏;熹;螅;欷;樨,蜥;洗;蓆;隰;嘻;犀;禧;唏;隙;兮;棲;螅;席;錫;冼;襲;熙;膝;曦;系;奚;悉;夕;喜;璽;矽;溪;係;釐;晰;谿;細;皙;昔;希;徙;蹊;樨;熄;惜;息;汐;攜;撕;稀;熹;烯;戲;繫;析;西;嬉;羲;欷;犧;習;媳;蟋;翕;淅,吸引;呼吸;吸收;吸毒;吸引力
禮,ㄌㄧˇ,示,醴;祇;禧;祀,裡;理;里;李;哩;鯉;俚;邐;浬;醴;蠡,痢;狸;梨;灕;荔;浬;慄;瀝;邐;莉;蠡;戾;籬;礪;璃;歷;俐;立;蠣;蒞;儷;曆;吏;癘;靂;黎;釐;里;醴;俚;鯉;離;礫;驪;唳;麗;李;勵;利;犛;隸;罹;壢;栗;琍;犁;力;例;裡;理;厲;粒;笠;漓;哩;鸝,禮物;典禮;婚禮;禮拜;送禮
印,ㄧㄣˋ,卩,卸;卹,飲;蔭,引;淫;姻;氤;蚓;隱;殷;吟;癮;尹;陰;韾;垠;齦;湮;因;銀;蔭;音;茵;飲,印象;印尼;印刷;印第安人;印證
超,ㄔㄠ,走,招;紹;昭;沼;迢;邵;貂;韶;詔;劭;炤,抄;鈔,晁;嘲;朝;抄;鈔;巢;潮;吵;炒,超過;超越;超級;超出
被,ㄅㄟˋ,衣,坡;波;玻;彼;疲;頗;披;柀;陂;跛;帔,備;背;貝;輩;倍;悖;憊;狽;蓓;焙,盃;杯;狽;卑;北;貝;悖;碑;背;埤;備;焙;倍;輩;蓓;憊;悲;揹,被迫;被動;被告;棉被;被害人
被,ㄆㄧ,衣,坡;波;玻;彼;疲;頗;披;柀;陂;跛;帔,批;匹;披;霹;劈;丕;紕;砒,披;屁;比;痞;霹;辟;皮;裨;副;啤;劈;圮;砒;罷;匹;媲;埤;丕;僻;批;癖;紕;陂;闢;枇;脾;琵;譬;否;疲,被褥;棉被
試,ㄕˋ,言,拭;軾;談;課,是;事;市;世;式;視;示;識;士;勢;室;適;釋;飾;氏;逝;侍;誓;仕;拭;嗜;柿;恃;噬;軾;舐;筮,世;勢;適;識;濕;柿;拭;事;屎;蝕;獅;溼;匙;氏;筮;軾;十;始;侍;時;拾;誓;失;使;釋;蝨;嗜;室;示;實;是;史;詩;什;飾;士;噬;食;屍;提;尸;豕;仕;師;石;矢;逝;恃;市;施;駛;舐;視;式,考試;嘗試;試辦;測試;甄試
談,ㄊㄢˊ,言,淡;毯;啖;課;講,彈;壇;潭;譚;檀;曇;痰;罈;澹;覃,灘;坍;罈;碳;潭;歎;覃;毯;炭;曇;坦;澹;壇;彈;袒;探;攤;檀;忐;貪;譚;癱;嘆;痰,座談會;座談;談判;談話;交談
背,ㄅㄟˋ,肉,肯;肩;脣;臀,備;被;貝;輩;倍;悖;憊;狽;蓓;焙,盃;杯;狽;卑;被;北;貝;悖;碑;埤;備;焙;倍;輩;蓓;憊;悲;揹,背景;背後;背部;背叛;背書
背,ㄅㄟ,肉,肯;肩;脣;臀,悲;杯;碑;卑;盃;揹;埤,盃;杯;狽;卑;被;北;貝;悖;碑;埤;備;焙;倍;輩;蓓;憊;悲;揹,背負;背包;背帶
支,ㄓ,支,皮;反,之;知;只;隻;織;枝;脂;汁;氏;肢;吱;芝;蜘;梔;胝,旨;侄;咫;擲;摭;識;幟;趾;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;之;蜘;雉;抵;徵;制;滯;汁;值;梔;吱;治;痔;職;隻;芷;枝;窒;止;秩;只;製;肢;蟄;致;緻;躑;胝;智;痣;祇;芝;知;至;摯;植;紙;祉;直;姪;殖;誌,支持;支撐;支出;支援;支付
甚,ㄕㄣˋ,甘,甘;甜,慎;腎;滲;蜃;葚,身;審;沈;蜃;什;滲;紳;申;慎;嬸;葚;參;腎;莘;瀋;呻;伸;神;深;娠,甚至;甚且;甚或;甚而;欺人太甚
甚,ㄕㄣˊ,甘,甘;甜,什;神,身;審;沈;蜃;什;滲;紳;申;慎;嬸;葚;參;腎;莘;瀋;呻;伸;神;深;娠,甚麼;為甚麼
銷,ㄒㄧㄠ,金,悄;稍;趙;削;峭;逍;梢;哨;俏;硝;捎;鞘;綃,消;蕭;宵;削;瀟;逍;哮;囂;硝;霄;梟;驍;簫;綃,校;梟;驍;效;哮;篠;蕭;消;宵;瀟;酵;霄;肖;逍;綃;笑;小;曉;嘯;囂;簫;削;孝;硝,銷售;行銷;外銷;促銷;內銷
館,ㄍㄨㄢˇ,食,棺;綰;倌,管;莞,莞;官;管;貫;關;綸;棺;灌;慣;罐;冠;觀;矜;盥,圖書館;博物館;旅館;美術館;賓館
息,ㄒㄧˊ,心,咱;自;恐;忽,習;惜;席;襲;昔;媳;錫;熄;蓆;隰,蜥;洗;蓆;隰;嘻;犀;禧;吸;唏;隙;兮;棲;螅;席;錫;冼;襲;熙;膝;曦;系;奚;悉;夕;喜;璽;矽;溪;係;釐;晰;谿;細;皙;昔;希;徙;蹊;樨;熄;惜;汐;攜;撕;稀;熹;烯;戲;繫;析;西;嬉;羲;欷;犧;習;媳;蟋;翕;淅,訊息;休息;消息;氣息;利息
千,ㄑㄧㄢ,十,干;午;卉,牽;遷;簽;謙;鉛;嵌;籤;騫;阡;韆;愆,前;阡;掮;錢;茜;謙;遣;騫;倩;韆;虔;黔;塹;牽;欠;簽;縴;遷;歉;淺;鉛;愆;潛;箝;籤;譴;乾;嵌;鉗,千萬;成千上萬;千里;千古;千方百計
財,ㄘㄞˊ,貝,材;貶;賦;賭,才;材;裁,蔡;采;綵;猜;彩;踩;菜;採;才;裁;材;睬,財產;財務;財政;財富;財團
雙,ㄕㄨㄤ,隹,雔,霜;孀,孀;爽;霜,雙方;雙手;雙胞胎;雙重;雙十
靜,ㄐㄧㄥˋ,青,淨;掙;睜;諍;錚;崢,境;請;竟;競;鏡;淨;敬;徑;勁;靖;逕;痙;脛,精;晶;淨;旌;鯨;徑;靖;莖;經;敬;兢;景;菁;競;脛;睛;境;阱;勁;京;井;涇;鏡;荊;請;逕;憬;痙;驚;警;青;竟;頸,安靜;平靜;冷靜;寧靜;靜止
曾,ㄗㄥ,曰,酋,增;憎,贈;增;憎,曾孫;曾文水庫;曾祖母
曾,ㄘㄥˊ,曰,酋,層,層;蹭,曾經;不曾;未曾;曾幾何時;似曾相識
漸,ㄐㄧㄢˋ,水,慚;汽;洋;減,間;見;建;件;健;監;鍵;鑑;箭;劍;踐;薦;賤;艦;荐;濺;毽;檻;澗;諫;鑒;餞;腱;僭,瞼;艱;緘;繭;柬;檢;檻;殲;尖;間;肩;縑;奸;劍;毽;趼;剪;揀;鍵;鑑;澗;煎;監;諫;健;荐;踐;兼;建;僭;濺;堅;減;鑒;鹼;見;箋;箭;囝;賤;薦;簡;菅;艦;餞;腱;撿;件;儉;筧;姦,逐漸;漸進;循序漸進;漸入佳境
買,ㄇㄞˇ,貝,賣;責;貨;貴,,埋;霾;脈;賣;邁;麥,購買;買賣;買票;買菜;買主
否,ㄈㄡˇ,口,盃;丕;甭,不,不,是否;否則;否認;否定;能否
否,ㄆㄧˇ,口,盃;丕;甭,匹;癖;痞;圮,披;屁;比;痞;霹;辟;皮;裨;副;啤;被;劈;圮;砒;罷;匹;媲;埤;丕;僻;批;癖;紕;陂;闢;枇;脾;琵;譬;疲,否極泰來
送,ㄙㄨㄥˋ,辵,朕;適;迷;追,宋;誦;頌;訟,嵩;誦;宋;聳;訟;慫;頌;松;鬆;悚;忪,贈送;送禮;輸送;接送;運送
升,ㄕㄥ,十,廾;卓;卒;卉,生;聲;勝;牲;昇;笙;陞;甥,聖;生;剩;繩;甥;乘;陞;盛;省;牲;笙;賸;昇;聲;勝,提升;上升;升學;升級;公升
站,ㄓㄢˋ,立,貼;黏;佔;沾;粘;帖;拈;玷,戰;占;暫;佔;顫;棧;綻;湛;蘸,綻;氈;斬;佔;占;詹;暫;霑;嶄;戰;蘸;湛;展;盞;沾;瞻;輾;顫;棧,火車站;車站;站立;站穩;加油站
係,ㄒㄧˋ,人,孫;供;依;仍;停,系;細;戲;夕;繫;矽;隙;汐;翕,蜥;洗;蓆;隰;嘻;犀;禧;吸;唏;隙;兮;棲;螅;席;錫;冼;襲;熙;膝;曦;系;奚;悉;夕;喜;璽;矽;溪;釐;晰;谿;細;皙;昔;希;徙;蹊;樨;熄;惜;息;汐;攜;撕;稀;熹;烯;戲;繫;析;西;嬉;羲;欷;犧;習;媳;蟋;翕;淅,關係;人際關係;關係企業;係數;干係
微,ㄨㄟˊ,彳,徵;御;徽,為;維;圍;危;唯;違;惟;巍;韋;薇;帷;桅;闈,尾;違;味;闈;娓;維;蔚;魏;萎;慰;喂;圍;鮪;薇;韋;未;委;崴;葦;桅;逶;緯;遺;為;畏;偽;位;衛;巍;帷;猥;偉;胃;威;蝟;唯;渭;偎;餵;惟;謂;尉;危,微笑;稍微;微生物;紫微斗數;微妙
修,ㄒㄧㄡ,人,候;侯,休;羞;咻;饈,袖;羞;饈;咻;休;宿;秀;繡;臭;朽;嗅;琇;鏽;岫,修正;修改;進修;修訂;維修
巴,ㄅㄚ,己,色;兔;己;已,八;吧;芭;叭;峇;疤;粑;扒;笆,笆;峇;芭;鈸;吧;叭;粑;八;壩;靶;把;罷;拔;伯;霸;跋;爸;疤;扒,尾巴;嘴巴;巴士;下巴;泥巴
寶,ㄅㄠˇ,宀,家;實;定;安,保;飽;堡;褓;葆,報;炮;豹;葆;胞;抱;苞;爆;孢;保;暴;褓;雹;刨;堡;褒;飽;鮑;包,寶貝;寶座;珠寶;寶貴
致,ㄓˋ,至,臻,知;至;治;制;質;識;製;智;志;置;誌;稚;遲;緻;秩;滯;炙;幟;窒;摯;峙;雉;忮;痔;桎;鋕;痣;躓,旨;侄;咫;擲;摭;識;幟;趾;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;之;蜘;雉;抵;徵;制;滯;汁;值;梔;吱;治;痔;職;隻;芷;枝;窒;止;秩;只;製;肢;支;蟄;緻;躑;胝;智;痣;祇;芝;知;至;摯;植;紙;祉;直;姪;殖;誌,導致;一致;大致;以致;致力
汽,ㄑㄧˋ,水,洋;減;沙;波,氣;器;企;妻;棄;契;泣;緝;迄;砌;憩;亟;磧;訖;葺,訖;棋;崎;企;淒;磧;憩;緝;祈;豈;七;期;綺;棲;臍;氣;器;棄;耆;漆;騎;沏;鰭;萋;畦;薺;契;其;迄;齊;砌;旗;祁;蘄;戚;枝;奇;歧;亟;妻;起;啟;祇;祺;稽;杞;欺;琦;淇;泣;麒;乞;琪;悽;錡;葺,汽車;汽油;汽缸;汽水;蒸汽船
急,ㄐㄧˊ,心,惠;忠;恣;慾,吃;及;集;即;極;級;革;擊;疾;吉;寂;輯;籍;藉;棘;汲;嫉;岌;唧;瘠;笈;亟;鶺;蹐;楫,即;績;棋;暨;薊;激;畿;驥;璣;籍;饑;其;忌;肌;笈;吉;既;唧;機;濟;亟;基;疾;屐;冀;寂;稽;藉;及;輯;乩;寄;蹐;季;革;擠;棘;記;覬;畸;鶺;繼;期;譏;給;躋;汲;鯽;嘰;祭;脊;岌;幾;箕;積;跡;薺;蹟;極;齊;吃;擊;際;級;犄;楫;紀;雞;奇;几;己;伎;羈;髻;妓;瘠;磯;計;嫉;戟;繫;劑;技;悸;姬;集;飢,緊急;急速;急救;急遽;急性
素,ㄙㄨˋ,糸,毒;責;紊;累,數;速;訴;塑;宿;肅;溯;粟;愫;簌;蓿;夙;觫,速;夙;宿;數;肅;溯;穌;俗;塑;蘇;囌;簌;愫;甦;粟;蓿;訴;觫;酥,因素;維生素;素質;素養;抗生素
驚,ㄐㄧㄥ,馬,擎;警;敬;駕,經;精;青;京;睛;晶;莖;鯨;菁;荊;兢;涇;旌,精;晶;淨;旌;鯨;徑;靖;莖;經;敬;兢;景;菁;競;脛;睛;境;阱;勁;京;井;涇;鏡;荊;請;逕;憬;痙;警;青;竟;頸;靜,驚人;驚訝;驚喜;震驚;驚奇
野,ㄧㄝˇ,里,抒;紓;妤;杼,也;冶,冶;業;也;液;咽;靨;夜;燁;耶;爺;斜;椰;噎;頁;掖;腋;謁;揶;葉;射;琊;邪,視野;朝野;野生;野生動物;田野
供,ㄍㄨㄥ,人,洪;拱;烘;哄;栱,公;工;紅;功;共;宮;攻;恭;躬;弓;龔;觥;蚣,弓;觥;恭;鞏;共;紅;栱;公;龔;拱;工;躬;貢;宮;攻;蚣;功,提供;供應;供給;供應商;供不應求
供,ㄍㄨㄥˋ,人,洪;拱;烘;哄;栱,共;貢,弓;觥;恭;鞏;共;紅;栱;公;龔;拱;工;躬;貢;宮;攻;蚣;功,供養;供奉;供桌;供佛
良,ㄌㄧㄤˊ,艮,尤;斥;跟,量;涼;梁;糧;粱;踉,諒;亮;兩;糧;梁;倆;粱;踉;涼;量;晾;輛,良好;優良;改良;善良;良心
適,ㄕˋ,辵,敵;滴;摘;嘀;嫡;謫,是;事;市;世;式;視;示;識;士;勢;室;試;釋;飾;氏;逝;侍;誓;仕;拭;嗜;柿;恃;噬;軾;舐;筮,世;勢;識;濕;柿;拭;事;屎;蝕;獅;溼;匙;氏;筮;軾;十;始;侍;時;拾;誓;失;使;釋;蝨;嗜;室;示;實;是;史;詩;什;飾;士;噬;食;屍;提;尸;豕;仕;師;石;矢;逝;試;恃;市;施;駛;舐;視;式,適合;舒適;適應;適當;適用
積,ㄐㄧ,禾,績;債;蹟;嘖;漬;磧,機;其;期;幾;基;奇;激;雞;績;跡;肌;棋;蹟;飢;磯;稽;畸;姬;几;譏;饑;箕;羈;屐;犄;嘰;乩;璣;躋;畿,即;績;棋;暨;薊;激;畿;驥;璣;籍;饑;其;忌;肌;笈;吉;既;唧;機;濟;亟;基;疾;屐;冀;寂;稽;藉;及;輯;乩;寄;蹐;季;革;擠;棘;記;覬;畸;鶺;繼;期;譏;給;躋;汲;鯽;嘰;祭;脊;岌;幾;箕;跡;薺;蹟;極;齊;吃;擊;際;級;犄;楫;紀;雞;奇;几;己;伎;羈;髻;妓;急;瘠;磯;計;嫉;戟;繫;劑;技;悸;姬;集;飢,積極;面積;累積;體積;堆積
牛,ㄋㄧㄡˊ,牛,生,,拗;妞;扭;鈕;紐,犀牛;牛奶;牛頓;蝸牛;牛仔褲
招,ㄓㄠ,手,紹;昭;沼;迢;邵;貂;韶;詔;劭;炤,著;朝;昭;釗,罩;召;照;釗;沼;朝;兆;趙;著;詔;找;爪;肇;昭,招生;招牌;聯招;招待;招標
八,ㄅㄚ,八,人;入;小,巴;吧;芭;叭;峇;疤;粑;扒;笆,笆;峇;芭;鈸;吧;叭;粑;壩;靶;巴;把;罷;拔;伯;霸;跋;爸;疤;扒,八成;八字;八里;五花八門;胡說八道
阿,ㄜ,阜,柯;呵;軻;坷;訶;蚵;珂,痾;婀,哦;婀;噩;痾;扼;額;堊;峨;惡;遏;噁;娥;蚵;萼;呃;鱷;顎;俄;厄;鵝;蛾;訛;愕;鄂;軛;餓,阿諛
阿,ㄚ,阜,柯;呵;軻;坷;訶;蚵;珂,啊,啊,阿姨;阿美族;阿媽;阿公
懷,ㄏㄨㄞˊ,心,壞;怕;慢;忙,槐;徊;淮;踝,壞;槐;踝;淮;徊,關懷;懷疑;懷念;情懷;懷孕
洋,ㄧㄤˊ,水,鮮;祥;詳;翔;徉;佯;烊,陽;揚;楊;羊;瘍;徉;煬;颺;佯;烊,楊;怏;央;瘍;烊;羊;鴦;佯;養;秧;樣;泱;殃;揚;煬;陽;漾;徉;氧;恙;癢;仰;颺,海洋;西洋;洋行;西洋參;大西洋
課,ㄎㄜˋ,言,棵;顆;裸;踝;粿;祼,可;客;刻;克;剋;恪;溘,顆;柯;軻;棵;殼;磕;坷;剋;蚵;咳;克;窠;苛;蝌;渴;恪;刻;溘;瞌;科;客;可,課程;上課;開課;功課;課題
答,ㄉㄚˊ,竹,峇;箱;符;篇,達;瘩;韃;靼,達;瘩;嗒;韃;打;靼;大;搭;躂,回答;答案;答覆;解答;搶答
答,ㄉㄚ,竹,峇;箱;符;篇,搭;嗒;躂,達;瘩;嗒;韃;打;靼;大;搭;躂,答應;滴答;答腔;滴滴答答
獎,ㄐㄧㄤˇ,犬,蔣;漿;醬;槳,講;蔣;槳,蔣;將;講;匠;僵;江;槳;醬;姜;疆;強;絳;薑;殭;降;韁;漿,得獎;頒獎;抽獎;獎勵;大獎
